epoch,step,train_loss_epoch,train_loss_step
0,49,,0.6727545261383057
0,99,,0.5300294160842896
0,149,,0.3718586266040802
0,199,,0.5162637233734131
0,222,0.5724984407424927,
1,249,,0.3112282454967499
1,299,,0.2747657895088196
1,349,,0.4117002487182617
1,399,,0.3982640504837036
1,445,0.35207563638687134,
2,449,,0.29050496220588684
2,499,,0.39123615622520447
2,549,,0.2869987189769745
2,599,,0.24448725581169128
2,649,,0.3061991333961487
2,668,0.27009862661361694,
3,699,,0.17859548330307007
3,749,,0.18703126907348633
3,799,,0.19549192488193512
3,849,,0.16769778728485107
3,891,0.21993722021579742,
4,899,,0.21642620861530304
4,949,,0.26052841544151306
4,999,,0.15504977107048035
4,1049,,0.1891777515411377
4,1099,,0.20897258818149567
4,1114,0.1840442419052124,
5,1149,,0.24280032515525818
5,1199,,0.09896434098482132
5,1249,,0.1542506366968155
5,1299,,0.13832703232765198
5,1337,0.1559591144323349,
6,1349,,0.11416500061750412
6,1399,,0.10997802019119263
6,1449,,0.08465377241373062
6,1499,,0.21262696385383606
6,1549,,0.19990722835063934
6,1560,0.13346414268016815,
7,1599,,0.14612337946891785
7,1649,,0.12780241668224335
7,1699,,0.10919766873121262
7,1749,,0.061574894934892654
7,1783,0.11774834990501404,
8,1799,,0.06511524319648743
8,1849,,0.10403794050216675
8,1899,,0.09119381755590439
8,1949,,0.09084074944257736
8,1999,,0.10133330523967743
8,2006,0.10571397840976715,
9,2049,,0.11176082491874695
9,2099,,0.07870493084192276
9,2149,,0.09165389090776443
9,2199,,0.12734253704547882
9,2229,0.10408292710781097,
10,2249,,0.08426646143198013
10,2299,,0.08235018700361252
10,2349,,0.045174360275268555
10,2399,,0.08458413928747177
10,2449,,0.09985996782779694
10,2452,0.08968158811330795,
11,2499,,0.11218423396348953
11,2549,,0.07962001860141754
11,2599,,0.08310585469007492
11,2649,,0.0676255151629448
11,2675,0.07887014746665955,
12,2699,,0.08102783560752869
12,2749,,0.10859046876430511
12,2799,,0.058027319610118866
12,2849,,0.09339398145675659
12,2898,0.0803174376487732,
13,2899,,0.11552716791629791
13,2949,,0.10946664214134216
13,2999,,0.05188719928264618
13,3049,,0.051465295255184174
13,3099,,0.07017725706100464
13,3121,0.07725410163402557,
14,3149,,0.06201859191060066
14,3199,,0.0574350543320179
14,3249,,0.03630300238728523
14,3299,,0.057523105293512344
14,3344,0.06764323264360428,
15,3349,,0.05943330377340317
15,3399,,0.06551714241504669
15,3449,,0.06203097850084305
15,3499,,0.05361776798963547
15,3549,,0.11203446239233017
15,3567,0.07044778019189835,
16,3599,,0.04138524457812309
16,3649,,0.04161875694990158
16,3699,,0.10049198567867279
16,3749,,0.0980587750673294
16,3790,0.07051987946033478,
17,3799,,0.08952523022890091
17,3849,,0.05745616927742958
17,3899,,0.04753468185663223
17,3949,,0.060889337211847305
17,3999,,0.0992669090628624
17,4013,0.05567318946123123,
18,4049,,0.041378822177648544
18,4099,,0.05423947423696518
18,4149,,0.055803749710321426
18,4199,,0.08187036216259003
18,4236,0.056236907839775085,
19,4249,,0.027085082605481148
19,4299,,0.040151722729206085
19,4349,,0.08773908764123917
19,4399,,0.0889551043510437
19,4449,,0.16582249104976654
19,4459,0.0661165788769722,
20,4499,,0.05923550948500633
20,4549,,0.07708379626274109
20,4599,,0.047122810035943985
20,4649,,0.07069085538387299
20,4682,0.05328876152634621,
21,4699,,0.0745798647403717
21,4749,,0.10346329212188721
21,4799,,0.034960947930812836
21,4849,,0.05291414260864258
21,4899,,0.09565924108028412
21,4905,0.06359583139419556,
22,4949,,0.07658129185438156
22,4999,,0.12480148673057556
22,5049,,0.07922281324863434
22,5099,,0.07434089481830597
22,5128,0.07577148824930191,
23,5149,,0.05211719870567322
23,5199,,0.06411878764629364
23,5249,,0.033367570489645004
23,5299,,0.06169120967388153
23,5349,,0.09685562551021576
23,5351,0.06215241178870201,
24,5399,,0.036868173629045486
24,5449,,0.08635476231575012
24,5499,,0.030185991898179054
24,5549,,0.06371328979730606
24,5574,0.06335822492837906,
25,5599,,0.02697725221514702
25,5649,,0.04623106122016907
25,5699,,0.06062101945281029
25,5749,,0.08399328589439392
25,5797,0.06349964439868927,
26,5799,,0.032582834362983704
26,5849,,0.025471290573477745
26,5899,,0.058453235775232315
26,5949,,0.0372476689517498
26,5999,,0.07717090100049973
26,6020,0.049999598413705826,
27,6049,,0.03098609484732151
27,6099,,0.03944717347621918
27,6149,,0.028307119384407997
27,6199,,0.046260617673397064
27,6243,0.03835824131965637,
28,6249,,0.022083604708313942
28,6299,,0.03384796902537346
28,6349,,0.02639830857515335
28,6399,,0.03501821681857109
28,6449,,0.059528764337301254
28,6466,0.04138384014368057,
29,6499,,0.04277321696281433
29,6549,,0.03201830014586449
29,6599,,0.04271582141518593
29,6649,,0.043913524597883224
29,6689,0.047831449657678604,
30,6699,,0.04257740452885628
30,6749,,0.030376991257071495
30,6799,,0.03887167572975159
30,6849,,0.04136694595217705
30,6899,,0.033841002732515335
30,6912,0.051569271832704544,
31,6949,,0.06689672917127609
31,6999,,0.04887507110834122
31,7049,,0.0528729148209095
31,7099,,0.02637556940317154
31,7135,0.051790330559015274,
32,7149,,0.026967642828822136
32,7199,,0.03514347970485687
32,7249,,0.039031993597745895
32,7299,,0.03328252583742142
32,7349,,0.060213759541511536
32,7358,0.035819586366415024,
33,7399,,0.02078685723245144
33,7449,,0.0514969602227211
33,7499,,0.03625283017754555
33,7549,,0.03495258837938309
33,7581,0.04309237748384476,
34,7599,,0.05369710549712181
34,7649,,0.051153529435396194
34,7699,,0.05280328169465065
34,7749,,0.03197324648499489
34,7799,,0.03145331144332886
34,7804,0.05211669206619263,
35,7849,,0.01893104612827301
35,7899,,0.04497566074132919
35,7949,,0.02880064770579338
35,7999,,0.05273960530757904
35,8027,0.04564227536320686,
36,8049,,0.024147246032953262
36,8099,,0.052445024251937866
36,8149,,0.016627652570605278
36,8199,,0.04291476309299469
36,8249,,0.0281358789652586
36,8250,0.03999659791588783,
37,8299,,0.05069969221949577
37,8349,,0.049331843852996826
37,8399,,0.03513934835791588
37,8449,,0.04619984328746796
37,8473,0.04379519075155258,
38,8499,,0.030354972928762436
38,8549,,0.024888722226023674
38,8599,,0.018841180950403214
38,8649,,0.04131947085261345
38,8696,0.029510848224163055,
39,8699,,0.03339288756251335
39,8749,,0.03304423391819
39,8799,,0.051599808037281036
39,8849,,0.027643905952572823
39,8899,,0.03823232278227806
39,8919,0.03195643797516823,
40,8949,,0.01493601780384779
40,8999,,0.06158767640590668
40,9049,,0.03706258535385132
40,9099,,0.04875766485929489
40,9142,0.03973514959216118,
41,9149,,0.035913579165935516
41,9199,,0.01768152229487896
41,9249,,0.037113044410943985
41,9299,,0.06575986742973328
41,9349,,0.03193313255906105
41,9365,0.04083545506000519,
42,9399,,0.03279857710003853
42,9449,,0.03810684010386467
42,9499,,0.03552767634391785
42,9549,,0.04918190464377403
42,9588,0.04264409467577934,
43,9599,,0.04893632233142853
43,9649,,0.04468521848320961
43,9699,,0.06479307264089584
43,9749,,0.027708208188414574
43,9799,,0.05019623413681984
43,9811,0.035857561975717545,
44,9849,,0.025206737220287323
44,9899,,0.03709598258137703
44,9949,,0.01876169815659523
44,9999,,0.03555971011519432
44,10034,0.03796989470720291,
45,10049,,0.026433570310473442
45,10099,,0.026646608486771584
45,10149,,0.047403573989868164
45,10199,,0.04382357746362686
45,10249,,0.02926248125731945
45,10257,0.036281518638134,
46,10299,,0.01570942997932434
46,10349,,0.02240295149385929
46,10399,,0.01774583011865616
46,10449,,0.018803831189870834
46,10480,0.025844430550932884,
47,10499,,0.04345802217721939
47,10549,,0.027698282152414322
47,10599,,0.019703956320881844
47,10649,,0.02046933025121689
47,10699,,0.018499188125133514
47,10703,0.022514596581459045,
48,10749,,0.019942687824368477
48,10799,,0.01912117935717106
48,10849,,0.016511373221874237
48,10899,,0.017923898994922638
48,10926,0.019466938450932503,
49,10949,,0.023684410378336906
49,10999,,0.017357826232910156
49,11049,,0.01633099466562271
49,11099,,0.018440281972289085
49,11149,,0.01694205030798912
49,11149,0.01963231898844242,
